2025-01-10 13:52:23.7720 Info Application Start
2025-01-10 13:52:25.3208 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 13:53:47.0253 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:06:02.0512 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:14:47.2395 Info Application Start
2025-01-10 14:14:47.5613 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:32:28.2050 Info Application Start
2025-01-10 14:32:29.4689 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:41:56.2442 Info Application Start
2025-01-10 14:41:57.5877 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 15:35:49.5100 Info Application Start
2025-01-10 15:43:26.5506 Info Application Start
2025-01-10 15:44:40.2034 Info Application Start
2025-01-10 15:48:01.1287 Info Application Start
2025-01-10 15:48:01.7510 Trace Executed Controller: MainHome, Action: Index
2025-01-10 15:48:01.7599 Trace Executed Controller: MainHome, Action: Index
2025-01-10 15:48:01.7769 Trace Executed Controller: Login, Action: Index
2025-01-10 15:48:01.7919 Trace Executed Controller: Login, Action: Index
2025-01-10 16:09:42.7487 Info Application Start
2025-01-10 16:09:43.1308 Trace Executing Controller: MainHome, Action: Index
2025-01-10 16:09:43.1378 Trace Executed Controller: MainHome, Action: Index
2025-01-10 16:09:43.1749 Trace Executing Controller: Login, Action: Index
2025-01-10 16:09:43.1869 Trace Executed Controller: Login, Action: Index
2025-01-10 16:09:49.8978 Trace Executing Controller: Login, Action: Index
2025-01-10 16:09:49.8978 Trace Executed Controller: Login, Action: Index
2025-01-10 16:10:04.2168 Trace Executing Controller: Login, Action: SubmitUserLogin
2025-01-10 16:10:04.2896 Trace Executed Controller: Login, Action: SubmitUserLogin
2025-01-10 16:10:04.3125 Trace Executing Controller: MainHome, Action: Index
2025-01-10 16:10:04.3125 Trace Executed Controller: MainHome, Action: Index
2025-01-10 16:10:12.0827 Trace Executing Controller: Login, Action: SubmitUserLogin
2025-01-10 16:10:12.1236 Trace Executed Controller: Login, Action: SubmitUserLogin
2025-01-10 16:10:12.1376 Trace Executing Controller: MainHome, Action: Index
2025-01-10 16:10:12.1376 Trace Executed Controller: MainHome, Action: Index
2025-01-10 16:10:15.9813 Trace Executing Controller: MainProduct, Action: Index
2025-01-10 16:10:15.9813 Trace Executed Controller: MainProduct, Action: Index
2025-01-10 16:10:18.2722 Trace Executing Controller: MainMember, Action: Index
2025-01-10 16:10:18.2732 Trace Executed Controller: MainMember, Action: Index
2025-01-10 16:10:19.0072 Trace Executing Controller: MainMember, Action: Index
2025-01-10 16:10:19.0072 Trace Executed Controller: MainMember, Action: Index
2025-01-10 16:10:19.0641 Trace Executing Controller: MainMember, Action: GetSortedMember
2025-01-10 16:10:19.0750 Trace Executed Controller: MainMember, Action: GetSortedMember
2025-01-10 16:10:34.2726 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:10:34.2736 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:10:35.0672 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:10:35.0672 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:10:35.2597 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:10:35.2597 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:10:45.6089 Trace Executing Controller: MainUser, Action: SelectUser
2025-01-10 16:10:45.6089 Trace Executed Controller: MainUser, Action: SelectUser
2025-01-10 16:10:48.1915 Trace Executing Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:10:48.2026 Trace Executed Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:10:51.5021 Trace Executing Controller: MainUser, Action: EditUserRoleAndStatus
2025-01-10 16:10:51.5131 Trace Executed Controller: MainUser, Action: EditUserRoleAndStatus
2025-01-10 16:10:51.5244 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:10:51.5244 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:10:51.6228 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:10:51.6228 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:11:03.1387 Trace Executing Controller: MainMember, Action: SelectMember
2025-01-10 16:11:03.1387 Trace Executed Controller: MainMember, Action: SelectMember
2025-01-10 16:11:07.5110 Trace Executing Controller: Login, Action: Index
2025-01-10 16:11:07.5110 Trace Executed Controller: Login, Action: Index
2025-01-10 16:11:15.1356 Trace Executing Controller: MainMember, Action: Index
2025-01-10 16:11:15.1356 Trace Executed Controller: MainMember, Action: Index
2025-01-10 16:11:15.1894 Trace Executing Controller: Login, Action: Index
2025-01-10 16:11:15.1894 Trace Executed Controller: Login, Action: Index
2025-01-10 16:41:56.3739 Trace Executing Controller: MainHome, Action: Logout
2025-01-10 16:41:56.3849 Trace Executed Controller: MainHome, Action: Logout
2025-01-10 16:41:56.4028 Trace Executing Controller: Login, Action: Index
2025-01-10 16:41:56.4028 Trace Executed Controller: Login, Action: Index
2025-01-10 16:42:29.8473 Trace Executing Controller: Login, Action: SubmitUserLogin
2025-01-10 16:42:29.9120 Trace Executed Controller: Login, Action: SubmitUserLogin
2025-01-10 16:42:53.8872 Trace Executing Controller: Login, Action: SubmitUserLogin
2025-01-10 16:42:53.8872 Trace Executed Controller: Login, Action: SubmitUserLogin
2025-01-10 16:42:53.9116 Trace Executing Controller: MainHome, Action: Index
2025-01-10 16:42:53.9156 Trace Executed Controller: MainHome, Action: Index
2025-01-10 16:43:06.7532 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:43:06.7532 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:43:06.7702 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:43:06.7702 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:43:06.8300 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:06.8390 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:20.3439 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:20.3439 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:21.5107 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:21.5107 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:33.9602 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:34.2557 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:36.4704 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:36.4704 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:38.8223 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:38.8223 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:45.4149 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:45.4149 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:46.1257 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:46.6960 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:46.6960 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:46.7236 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:47.4382 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:47.4382 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:48.0939 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:48.0939 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:48.8547 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:48.9291 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:49.4064 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:49.4489 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:50.4327 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:50.5117 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:50.9339 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:51.0238 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:52.3192 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:52.3841 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:52.9984 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:43:53.0410 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:44:17.5998 Trace Executing Controller: MainUser, Action: SelectUser
2025-01-10 16:44:17.6048 Trace Executed Controller: MainUser, Action: SelectUser
2025-01-10 16:44:23.4944 Trace Executing Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:44:23.4944 Trace Executed Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:44:40.8302 Trace Executing Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:44:40.8302 Trace Executed Controller: MainUser, Action: GetRoleIdAndName
