2025-01-17 08:59:29.9242 Info Application Start
2025-01-17 08:59:31.7836 Trace Executing Controller: MainHome, Action: Index
2025-01-17 08:59:31.7836 Trace Executed Controller: MainHome, Action: Index
2025-01-17 08:59:31.8864 Trace Executing Controller: Login, Action: Index
2025-01-17 08:59:31.9043 Trace Executed Controller: Login, Action: Index
2025-01-17 09:00:46.6871 Trace Executing Controller: Login, Action: Index
2025-01-17 09:00:46.6871 Trace Executed Controller: Login, Action: Index
2025-01-17 09:00:49.8392 Trace Executing Controller: Login, Action: Index
2025-01-17 09:00:49.8392 Trace Executed Controller: Login, Action: Index
2025-01-17 09:00:56.2367 Trace Executing Controller: Login, Action: SubmitUserLogin
2025-01-17 09:00:58.2297 Trace Executed Controller: Login, Action: SubmitUserLogin
2025-01-17 09:00:58.7502 Trace Executing Controller: MainHome, Action: Index
2025-01-17 09:00:58.7621 Trace Executed Controller: MainHome, Action: Index
2025-01-17 09:01:01.8653 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:01:01.8653 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:01:02.6043 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:01:02.6043 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:01:02.8117 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:01:02.9000 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:01:08.7879 Trace Executing Controller: MainOrder, Action: EditOrderState
2025-01-17 09:01:08.8059 Trace Executed Controller: MainOrder, Action: EditOrderState
2025-01-17 09:01:08.8178 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:01:08.8178 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:01:08.9505 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:01:08.9665 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:03:34.1451 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:03:34.2548 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:03:35.0457 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:03:35.0477 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:04:11.1166 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:04:11.1824 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:04:12.2616 Trace Executing Controller: MainOrder, Action: GetOrderDetail
2025-01-17 09:04:12.4989 Trace Executed Controller: MainOrder, Action: GetOrderDetail
2025-01-17 09:04:15.9639 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:04:15.9639 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:04:16.2052 Trace Executing Controller: MainOrder, Action: GetOrderDetail
2025-01-17 09:04:16.2222 Trace Executed Controller: MainOrder, Action: GetOrderDetail
2025-01-17 09:07:23.6732 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:07:23.6732 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:07:39.2675 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:07:39.2675 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:11:18.2171 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:11:18.2221 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:11:25.6122 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:11:25.6122 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:11:26.5476 Trace Executing Controller: MainOrder, Action: GetOrderDetail
2025-01-17 09:11:26.6863 Trace Executed Controller: MainOrder, Action: GetOrderDetail
2025-01-17 09:11:26.8528 Trace Executing Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:11:26.8668 Trace Executed Controller: MainOrder, Action: GetRedirectOrderDetailView
2025-01-17 09:11:27.0543 Trace Executing Controller: MainOrder, Action: GetOrderDetail
2025-01-17 09:11:27.0543 Trace Executed Controller: MainOrder, Action: GetOrderDetail
2025-01-17 09:12:24.4589 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:12:24.5138 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:12:25.8212 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:12:25.8212 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:12:26.1124 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:12:26.1124 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:12:29.0618 Trace Executing Controller: MainOrder, Action: EditOrderState
2025-01-17 09:12:29.0668 Trace Executed Controller: MainOrder, Action: EditOrderState
2025-01-17 09:12:29.0668 Trace Executing Controller: MainOrder, Action: Index
2025-01-17 09:12:29.0668 Trace Executed Controller: MainOrder, Action: Index
2025-01-17 09:12:29.2431 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-17 09:12:29.2541 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-17 09:13:02.3324 Trace Executing Controller: MainOrder, Action: EditOrderState
2025-01-17 09:13:14.8392 Trace Executed Controller: MainOrder, Action: EditOrderState
2025-01-17 09:13:14.8681 Trace Executing Controller: MainOrder, Action: Index
