2025-01-15 09:36:56.0036 Info Application Start
2025-01-15 09:36:56.9101 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 09:36:56.9361 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 09:37:14.4030 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 09:37:14.6774 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 09:37:23.4297 Trace Executing Controller: MainHome, Action: Logout
2025-01-15 09:37:23.4297 Trace Executed Controller: MainHome, Action: Logout
2025-01-15 09:37:23.4486 Trace Executing Controller: Login, Action: Index
2025-01-15 09:37:23.4486 Trace Executed Controller: Login, Action: Index
2025-01-15 09:37:25.1577 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 09:37:25.1577 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 09:37:25.2245 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 09:37:25.2445 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 09:38:08.5050 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 09:38:08.5050 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 09:38:09.5073 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 09:38:09.5073 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 09:38:15.2181 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 09:38:15.2322 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 09:38:15.3895 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 09:38:15.4025 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 09:38:18.1280 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 09:38:18.1360 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 09:42:09.3723 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 09:42:09.3723 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 09:42:10.0077 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 09:42:10.0296 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 09:42:32.7398 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 09:42:32.7398 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 09:42:33.9933 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 09:42:34.0112 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 10:00:40.8266 Info Application End
2025-01-15 10:00:50.5055 Info Application Start
2025-01-15 10:00:52.1122 Trace Executing Controller: MainHome, Action: Index
2025-01-15 10:00:52.1292 Trace Executed Controller: MainHome, Action: Index
2025-01-15 10:00:52.1601 Trace Executing Controller: Login, Action: Index
2025-01-15 10:00:52.1841 Trace Executed Controller: Login, Action: Index
2025-01-15 10:01:16.6664 Trace Executing Controller: Login, Action: SubmitUserLogin
2025-01-15 10:01:16.7922 Trace Executed Controller: Login, Action: SubmitUserLogin
2025-01-15 10:01:16.9767 Trace Executing Controller: MainHome, Action: Index
2025-01-15 10:01:16.9767 Trace Executed Controller: MainHome, Action: Index
2025-01-15 10:01:21.8030 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 10:01:21.8030 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 10:01:22.6806 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 10:01:22.6806 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 10:01:22.8212 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 10:01:22.8472 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 10:02:38.9981 Trace Executing Controller: MainOrder, Action: Index
2025-01-15 10:02:38.9981 Trace Executed Controller: MainOrder, Action: Index
2025-01-15 10:02:39.2834 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 10:02:39.2953 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 10:02:52.8554 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 10:02:52.9063 Trace Executed Controller: MainOrder, Action: GetOrder
2025-01-15 10:02:53.0830 Trace Executing Controller: MainOrder, Action: GetOrder
2025-01-15 10:02:53.0953 Trace Executed Controller: MainOrder, Action: GetOrder
